price,brand,model,trim,kilometers,year,vehicle_age_years,regional_specs,doors,body_type,fuel_type,seating_capacity,transmission_type,engine_capacity_cc,horsepower,no_of_cylinders,exterior_color,interior_color,warranty,address,country,city,area_name,location_name,latitude,longitude,seller_type
69900,Alfa Romeo,GIULIETTA,Veloce,65627,2019,5,GCC Specs,5,Hatchback,Petrol,4,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,4,Black,Unknown,Does not apply,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
199900,Alfa Romeo,Giulia,Veloce,21287,2022,2,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,4,Red,Black,Yes,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,25.0786415,55.1352524,Dealership/Certified Pre-Owned
374900,Alfa Romeo,Stelvio,Quadrifoglio,10906,2023,1,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,,,6,Blue,Unknown,Yes,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,25.0786415,55.1352524,Dealership/Certified Pre-Owned
124900,Volvo,XC60,T5 R Design,77205,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,4,White,Black,No,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
146900,Toyota,Prado,Adventure,53078,2021,3,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,4000+ cc,200 - 299 HP,6,White,Beige,Yes,"Abu Hail, Deira, Dubai, UAE",UAE,Dubai,Deira,Abu Hail,25.2754161,55.3464499,Dealership/Certified Pre-Owned
84900,Land Rover,Discovery Sport,HSE,74598,2017,7,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,4,White,Unknown,No,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
129900,BMW,7-Series,730i Exclusive,109000,2017,7,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Tan,No,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,25.0786415,55.1352524,Dealership/Certified Pre-Owned
73900,Audi,A3,Standard,74092,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,4,Silver,Brown,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
199900,Nissan,Patrol,LE Platinum City,26706,2019,5,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,4000+ cc,400 - 499 HP,8,Black,Beige,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
159900,Infiniti,QX55,Other,32800,2022,2,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Blue,Unknown,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
390000,Alfa Romeo,Giulia,Quadrifoglio,18000,2023,1,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2500 - 2999 cc,500 - 599 HP,6,Gold,Black,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
279900,Alfa Romeo,Stelvio,Quadrifoglio,14288,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2500 - 2999 cc,500 - 599 HP,6,Blue,Black,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
80000,Alfa Romeo,GIULIETTA,Veloce,38755,2021,3,GCC Specs,5,Hatchback,Petrol,5,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,4,Blue,Unknown,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
159900,Alfa Romeo,Stelvio,Other,25259,2020,4,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,,200 - 299 HP,4,Black,Other Color,Yes,"Al Khabaisi, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Khabaisi,25.266173,55.3377718,Dealership/Certified Pre-Owned
48000,Nissan,Kicks,SV,48000,2020,4,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,4,Black,Black,Does not apply,"Jumeirah Village Circle (JVC), Dubai, UAE",UAE,Dubai,Jumeirah Village Circle (JVC),,25.0559446,55.20746502861806,Owner
995000,Land Rover,Range Rover,SV Autobiography,14000,2023,1,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,,500 - 599 HP,8,Grey,Beige,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1050,Land Rover,Range Rover,SV Autobiography,100,2023,1,Other,5,SUV,Petrol,5,Automatic Transmission,,500 - 599 HP,8,Black,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1050,Land Rover,Range Rover,SV Autobiography,100,2023,1,Other,5,SUV,Petrol,5,Automatic Transmission,,500 - 599 HP,8,Black,Tan,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1290,Land Rover,Range Rover,SV Autobiography,100,2023,1,Other,5,SUV,Petrol,4,Automatic Transmission,Unknown,500 - 599 HP,8,Green,Tan,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1050,Land Rover,Range Rover,Autobiography,100,2024,0,Other,5,SUV,Petrol,5,Automatic Transmission,,500 - 599 HP,8,Black,White,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1450,Porsche,Carrera / 911,GT,8000,2018,6,Other,2,Coupe,Petrol,2,Automatic Transmission,,500 - 599 HP,6,Silver,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1890,Rolls-Royce,Ghost,Black Badge,300,2023,1,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,,500 - 599 HP,12,Grey,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
2450,Rolls-Royce,Cullinan,Black Badge,500,2024,0,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599 HP,12,Grey,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
129000,Mercedes-Benz,S-Class,S 400,89000,2014,10,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,Black,White,Does not apply,"Al Mamzar Front, Al Mamzar, Dubai, UAE",UAE,Dubai,Al Mamzar,Al Mamzar Front,25.3061521,55.3441577,Dealer
199000,Mercedes-Benz,C-Class,C300 Luxury,22000,2022,2,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,,100 - 199 HP,4,White,Black,Yes,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
195000,Porsche,Boxster,S,88000,2017,7,GCC Specs,2,Soft Top Convertible,Petrol,2,Automatic Transmission,,200 - 299 HP,4,Red,Black,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
195000,Mercedes-Benz,E-Class Coupe,E 400 Coupe,51000,2018,6,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,,200 - 299 HP,6,White,Unknown,No,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
145000,Nissan,Patrol,LE Titanium,118000,2018,6,GCC Specs,4,SUV,Petrol,7,Automatic Transmission,,300 - 399 HP,8,Grey,Black,Yes,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
149000,Ford,F-Series Pickup,SVT Raptor,109000,2018,6,GCC Specs,4,Pick Up Truck,Petrol,5,Automatic Transmission,,200 - 299 HP,6,Grey,Black,Yes,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
125000,Porsche,Cayenne,S,88000,2015,9,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,,200 - 299 HP,6,Grey,Beige,No,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
87000,MINI,Cooper,Cooper S,58000,2018,6,GCC Specs,4,Hatchback,Petrol,5,Automatic Transmission,,100 - 199 HP,4,Red,Black,Yes,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
65000,MG,ZS,Luxury,31000,2021,3,GCC Specs,4,Crossover,Electric,5,Automatic Transmission,,100 - 199 HP,0,Blue,Black,Yes,"Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
149000,Dodge,Challenger,Srt8,2000,2010,14,GCC Specs,2,Coupe,Petrol,5,Automatic Transmission,Unknown,400 - 499 HP,8,Purple,Black,No,"Al Qusais 3, Al Qusais Residential Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Residential Area,25.26927935,55.3870977518672,Dealer
247000,BMW,M4,Coupe,33561,2020,4,GCC Specs,2,Coupe,Petrol,5,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,6,White,Black,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
109000,BMW,4-Series,420i Gran Coupe,74798,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,4,White,Black,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
125000,BMW,4-Series,430i Gran Coupe,55129,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Black,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
70000,Nissan,Maxima,Other,97572,2018,6,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,6,Grey,Beige,No,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
269000,Mercedes-Benz,CLS-Class,CLS 350,20998,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
231000,BMW,7-Series,730li Exclusive,62265,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Grey,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
170000,BMW,7-Series,760Li,45537,2017,7,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,4000+ cc,600 - 699 HP,12,White,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
185000,Lexus,GX 460,Platinum,67631,2020,4,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,4000+ cc,200 - 299 HP,8,White,Black,No,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
49000,BAIC,X35,Other,16934,2023,1,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,4,White,Black,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
975000,Ferrari,Roma,Other,2949,2023,1,GCC Specs,2,Coupe,Petrol,2,Automatic Transmission,3500 - 3999 cc,600 - 699 HP,8,Silver,Brown,No,"Jumeirah, Dubai, UAE",UAE,Dubai,Jumeirah,,25.2069604,55.2474974,Dealer
180000,Mercedes-Benz,GLE Coupe,GLE 43 AMG,99321,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,White,Beige,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
190000,Tesla,Model X,Other,82247,2019,5,GCC Specs,5,SUV,Electric,5,Automatic Transmission,Unknown,300 - 399 HP,0,Blue,White,No,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
125000,BMW,4-Series,430i Gran Coupe,68243,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
80000,BMW,4-Series,420i,113165,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,4,White,Beige,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
259000,Porsche,Panamera,4,53281,2018,6,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,White,Unknown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
86000,Mazda,CX-9,Other,64283,2018,6,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,4,Blue,Beige,No,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
200000,Mercedes-Benz,E-Class,E 300,45055,2020,4,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
205000,Mercedes-Benz,E-Class,E 300,77290,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,4,Silver,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
195000,Mercedes-Benz,C-Class,C200,15072,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,4,Black,Unknown,No,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
250000,Land Rover,Range Rover Sport,HSE,59455,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,White,Black,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
239000,Land Rover,Range Rover,HSE,66384,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,White,Beige,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
65000,Honda,Civic,DX,66026,2020,4,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,4,White,Beige,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
260000,BMW,X6,xDrive40i,62693,2020,4,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499 cc,500 - 599 HP,6,Black,Brown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
199000,BMW,X5,Xdrive 40i,65072,2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,Black,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
247000,BMW,7-Series,740Li,63678,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,Silver,Brown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
193000,BMW,7-Series,760Li,82299,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,4000+ cc,600 - 699 HP,12,White,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
255000,BMW,7-Series,740Li,52043,2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,Black,Brown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
258000,Audi,Q7,Other,26443,2022,2,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,White,Brown,Yes,"Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,,25.1177213,55.2357807,Dealer
1499,Porsche,Carrera / 911,Turbo S,102,2024,0,European Specs,2,Soft Top Convertible,Petrol,0,Automatic Transmission,,600 - 699 HP,6,Grey,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
2249,Rolls-Royce,Cullinan,Black Badge,0,2024,0,European Specs,5,SUV,Petrol,0,Automatic Transmission,,600 - 699 HP,12,Grey,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
1099,Bentley,Bentayga,Other,13791,2022,2,GCC Specs,4,SUV,Petrol,0,Automatic Transmission,,600 - 699 HP,12,Beige,Other Color,Yes,"Al Safa 1, Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,Al Safa 1,25.17546645,55.23847392629866,Dealer
2499,Mercedes-Benz,G-Class,G 63 AMG,74,2023,1,European Specs,5,SUV,Petrol,0,Automatic Transmission,,900+ HP,8,Black,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
949000,Ferrari,Roma,Other,13870,2022,2,European Specs,2,Coupe,Petrol,0,Automatic Transmission,,600 - 699 HP,8,Grey,Black,No,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
143900,Infiniti,QX80,Luxury,91130,2018,6,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,4000+ cc,300 - 399 HP,8,Brown,Black,Yes,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
1425,Lamborghini,Urus,Standard,0,2024,0,European Specs,5,SUV,Petrol,0,Automatic Transmission,,600 - 699 HP,8,Orange,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,25.167737,55.231018,Dealer
89900,Infiniti,Q70,Excellence,66214,2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,6,White,Beige,Yes,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
195000,Jeep,Grand Cherokee L,Other,39000,2022,2,GCC Specs,4,SUV,Petrol,7,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,6,Silver,Beige,Yes,"Jumeirah Lake Towers (JLT), Dubai, UAE",UAE,Dubai,Jumeirah Lake Towers (JLT),,25.0690625,55.141165591907736,Owner
325000,Audi,S8,S-Line,39900,2020,4,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,4000+ cc,500 - 599 HP,8,Black,Brown,Yes,"Palm Jumeirah, Dubai, UAE",UAE,Dubai,Palm Jumeirah,,25.1180879,55.1342009,Dealer
225000,Mercedes-Benz,E-Class,E 350,1800,2022,2,Japanese Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,4,Grey,Black,Yes,"Downtown Dubai, Dubai, UAE",UAE,Dubai,Downtown Dubai,,25.18668425,55.27470526460112,Dealer
769000,Porsche,Carrera / 911,Targa 4,0,2024,0,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,6,Grey,Brown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
1250,Porsche,Carrera / 911,Turbo S Cabriolet,0,2024,0,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,3500 - 3999 cc,600 - 699 HP,6,Grey,Black,Yes,"Sheikh Zayed Road, Dubai, UAE",UAE,Dubai,Sheikh Zayed Road,,25.21762295,55.2782830925684,Dealer
1185,Lamborghini,Huracan,Other,5000,2022,2,GCC Specs,2,Sports Car,Petrol,2,Automatic Transmission,Unknown,600 - 699 HP,10,Silver,Black,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
985000,McLaren,Artura,Standard,0,2024,0,GCC Specs,2,Sports Car,Petrol,2,Automatic Transmission,Unknown,600 - 699 HP,6,Gold,Black,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,25.1524105,55.2340999,Dealer
117000,Chevrolet,Camaro,SS,12200,2022,2,American Specs,2,Sports Car,Petrol,4,Automatic Transmission,4000+ cc,400 - 499 HP,8,Blue,Black,Does not apply,"Palm Jumeirah, Dubai, UAE",UAE,Dubai,Palm Jumeirah,,25.1180879,55.1342009,Dealer
69000,Ford,Mustang,Ecoboost,57200,2020,4,American Specs,2,Sports Car,Petrol,4,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,4,Blue,Black,Does not apply,"Sheikh Zayed Road, Dubai, UAE",UAE,Dubai,Sheikh Zayed Road,,25.21762295,55.2782830925684,Dealer
